viral,Preys,PreyGene,MIST,Saint_BFDR,AvgSpec,FoldChange,Uniprot Protein ID
nsp7,P61026,RAB10,0.981443071,0,3,30,RAB10_HUMAN
nsp7,P61106,RAB14,0.750712826,0,6.67,66.67,RAB14_HUMAN
nsp7,P61586,RHOA,0.829029399,0.05,2,20,RHOA_HUMAN
nsp7,P62820,RAB1A,0.935289593,0,4,40,RAB1A_HUMAN
nsp7,P62873,GNB1,0.839532136,0,2.67,26.67,GBB1_HUMAN
nsp7,P63218,GNG5,0.817631566,0.05,2,20,GBG5_HUMAN
nsp7,Q12907,LMAN2,0.725773983,0,7,70,LMAN2_HUMAN
nsp7,Q13724,MOGS,0.782330987,0,27.67,276.67,MOGS_HUMAN
nsp7,Q5JTV8,TOR1AIP1,0.74516805,0.05,2,20,TOIP1_HUMAN
nsp7,Q5VT66,MTARC1,0.939721024,0,6.33,63.33,MARC1_HUMAN
nsp7,Q6ZRP7,QSOX2,0.794325146,0.03,4.33,43.33,QSOX2_HUMAN
nsp7,Q7LGA3,HS2ST1,0.706466834,0,5,50,HS2ST_HUMAN
nsp7,Q8N183,NDUFAF2,0.981444858,0,3,30,NDUF2_HUMAN
nsp7,Q8NBX0,SCCPDH,0.978675119,0,2.33,23.33,SCPDL_HUMAN
nsp7,Q8WTV0,SCARB1,0.854406247,0.03,2.67,26.67,SCRB1_HUMAN
nsp7,Q8WUY8,NAT14,0.720285746,0,4.33,43.33,NAT14_HUMAN
nsp7,Q8WVC6,DCAKD,0.862452335,0,9,90,DCAKD_HUMAN
nsp7,Q96A26,FAM162A,0.748773582,0,11,110,F162A_HUMAN
nsp7,Q96DA6,DNAJC19,0.981450126,0,3,30,TIM14_HUMAN
nsp7,Q9BQE4,SELENOS,0.701764404,0,3.33,33.33,SELS_HUMAN
nsp7,Q9H7Z7,PTGES2,0.764538331,0,6,60,PGES2_HUMAN
nsp7,Q9NP72,RAB18,0.756605088,0.05,2,20,RAB18_HUMAN
nsp8,O00566,MPHOSPH10,0.728559172,0.03,2.67,26.67,MPP10_HUMAN
nsp8,O76094,SRP72,0.739540656,0,33.67,336.67,SRP72_HUMAN
nsp8,O95260,ATE1,0.804292637,0,8.33,83.33,ATE1_HUMAN
nsp8,O96028,NSD2,0.864651959,0.05,2,20,NSD2_HUMAN
nsp8,P09132,SRP19,0.832502372,0,12,120,SRP19_HUMAN
nsp8,P61011,SRP54,0.755584148,0,4,40,SRP54_HUMAN
nsp8,P82663,MRPS25,0.826437119,0,4.67,46.67,RT25_HUMAN
nsp8,Q13206,DDX10,0.755753594,0,5.67,56.67,DDX10_HUMAN
nsp8,Q4G0J3,LARP7,0.812479682,0,12.67,126.67,LARP7_HUMAN
nsp8,Q7L2J0,MEPCE,0.790978117,0,10.33,103.33,MEPCE_HUMAN
nsp8,Q8NEJ9,NGDN,0.71407894,0,3.67,36.67,NGDN_HUMAN
nsp8,Q96B26,EXOSC8,0.990898225,0,3.67,36.67,EXOS8_HUMAN
nsp8,Q96I59,NARS2,0.78185035,0,5.33,53.33,SYNM_HUMAN
nsp8,Q9BSC4,NOL10,0.807819511,0,8.33,83.33,NOL10_HUMAN
nsp8,Q9H6F5,CCDC86,0.736803661,0,4.33,43.33,CCD86_HUMAN
nsp8,Q9HD40,SEPSECS,0.809559247,0,4.33,43.33,SPCS_HUMAN
nsp8,Q9NQT4,EXOSC5,0.704291901,0,3.67,36.67,EXOS5_HUMAN
nsp8,Q9NQT5,EXOSC3,0.774797319,0,6.33,63.33,EXOS3_HUMAN
nsp8,Q9NY61,AATF,0.783703681,0,11.67,116.67,AATF_HUMAN
nsp8,Q9ULT8,HECTD1,0.885504785,0,5.33,53.33,HECD1_HUMAN
nsp8,Q9Y399,MRPS2,0.972057569,0.05,2,20,RT02_HUMAN
nsp8,P82675,MRPS5,0.63637328,0.04,2.33,23.33,RT05_HUMAN
nsp8,Q13868,EXOSC2,0.672587659,0,5.67,56.67,EXOS2_HUMAN
nsp8,Q92552,MRPS27,0.602806863,0,3.33,33.33,RT27_HUMAN
nsp9,P13984,GTF2F2,0.877426938,0,14,140,T2FB_HUMAN
nsp9,P35555,FBN1,0.992372395,0,15.33,153.33,FBN1_HUMAN
nsp9,P35556,FBN2,0.991012329,0,83,830,FBN2_HUMAN
nsp9,P35658,NUP214,0.962233264,0,8.33,83.33,NU214_HUMAN
nsp9,P37198,NUP62,0.993010451,0,18,180,NUP62_HUMAN
