dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
62338.87109375,161744.0757540615,34642.703125,88229.64779578078,35037.0859375,64948.85849959944
62326.57421875,161727.04914236817,34635.46875,88206.06547898395,35037.1640625,64945.176403025565
62314.30859375,161709.98028871175,34627.4921875,88182.57439239637,35033.88671875,64941.54368267031
62302.1640625,161692.87005865044,34620.5703125,88159.17380688735,35034.5,64937.95774851939
62289.7734375,161675.7194662615,34612.75390625,88135.86298585334,35030.39453125,64934.41597293003
62277.546875,161658.5296806683,34606.29296875,88112.64118645398,35031.55859375,64930.91570944003
62265.109375,161641.30203014155,34598.43359375,88089.50766086878,35026.67578125,64927.454310208224
62253.09765625,161624.03800256705,34592.41796875,88066.46165756312,35028.8203125,64924.02914194555
62240.578125,161606.7392409618,34584.609375,88043.5024225588,35022.7421875,64920.63760024973
62228.66796875,161589.407532782,34579.0703125,88020.62920070146,35026.203125,64917.277122307874
62216.44921875,161572.04479205495,34571.0703125,87997.84123691871,35018.49609375,64913.9451979704
62204.23828125,161554.65303393343,34565.9296875,87975.13777746011,35023.9453125,64910.6393792368
62192.5625,161537.23434214023,34557.67578125,87952.51807111417,35013.74609375,64907.35728822235
62180.484375,161519.7908308497,34553.25,87929.9813703941,35022.171875,64904.09662369775
62168.33984375,161502.32460375992,34544.45703125,87907.52693268654,35008.4453125,64900.855166304915
62156.3671875,161484.8377142066,34540.91015625,87885.15402135854,35021.078125,64897.63078256814
62144.23828125,161467.33213096362,34531.12109375,87862.86190681465,35002.1953125,64894.4214278174
62132.07421875,161449.80971460894,34528.71484375,87840.64986750013,35021.03515625,64891.2251481479
62120.046875,161432.27220890345,34517.86328125,87818.517190846,34994.80078125,64888.0400815316
62108.546875,161414.72125047707,34516.8671875,87796.46317415056,35022.40234375,64884.86445819297
62097.1484375,161397.15839839322,34504.1328125,87774.48712539297,34985.5,64881.69660035517
62086.00390625,161379.58518310075,34504.6328125,87752.58836397859,35025.171875,64878.534921451654
62074.45703125,161362.00317222584,34490.140625,87730.76622140918,34974.26953125,64875.377924890316
